created_at,text
2020-03-22,"Covid-19 could live on in Indonesia long after world recovers

https://t.co/9lGpjib1At"
2020-03-22,"@MitchKosterman On the local news tonight, the #COVID19 cases update for my county now includes an 11yr old boy. 😢

#CoronavirusPandemic"
2020-03-22,@thomasdolphin @AsBrexit https://t.co/7Gy8Ivx3Vf
2020-03-22,"Friend: what's the population of Monroe county ? 
Me: About 750,000 
Friend: So 63 cases of #coronavirus out of 750,000 . That's not bad 🤷🏼‍♂️ 

That's not bad what?!?! Fjgkfjfndkgnfkd"
2020-03-22,"Quiet, with some defiance, as Bondi Beach succumbs to coronavirus closure - The Guardian https://t.co/Xzo0YyHy3f https://t.co/i1KmLDCJyJ"
2020-03-22,"We need a common plan. No country in the world will solve #coronavirus alone. 🔵 #eustickstogether @ Paris, France https://t.co/WWIelQy9EN"
2020-03-22,"Gonna get a lot worse before it gets a little better. Translation: hang on for the ride, it’ll be rough. https://t.co/vQYg9NFM3K"
2020-03-22,Lyneham High is closed tomorrow due to a coronavirus case. ACT Health just confirmed via statement. #canberra @AAPNewswire
2020-03-22,"Two girls arrested after Chinese people in face masks attacked over coronavirus

The incident took place in Southampton, as police say four people wearing medical masks were assaulted 

#LawlessBritain 

https://t.co/k5w8A2Fqjd"
2020-03-22,"Hello pm, have you take safety measurement or reinforces to avoid corona. lack of medical amenities exist throughout in the country if corona lead. We need action, no need to hear your suggestion. https://t.co/4JKjLo6dzq"
2020-03-22,Is this #goodmorningbritain #COVIDー19 #coronavirus #COVID19 💔💔 https://t.co/IBtVlXZFYH
2020-03-22,First coronavirus autopsy highlights how illness targets lungs | South China Morning Post #Covid-19 #CoronaVirusUpdate  https://t.co/ZcVLDxDBTD
2020-03-22,"Rep. Kennedy comments on the GOP coronavirus relief plan: ""The idea that you're going to somehow be able to make ends meet for families for a month, two months on this is laughable. It just shows you are completely divorced from reality.""

https://t.co/kjAmN4AfX4"
2020-03-22,FYI @POTUS @realDonaldTrump @VP @WhiteHouse  I agree with this tweet. #USA must bring home production of medicines &amp; essential life protecting products that are currently being produced in #China. Break #China's #SupplyChain with the #USA. #KAG2020 https://t.co/NFiz5nGQI0
2020-03-22,"This team is led by two corrupt officials. Bill and Emma.

 https://t.co/024ftKrZhA via @nypmetro"
2020-03-22,Hard no. State leaders are doing a far better job now than their federal counterparts. https://t.co/buTxz9yKDl
2020-03-22,@Armyvetgrl1 @KnuteBuehler @pauldejean65 Chill out and relax people jesus christ there is no imminent direct threat to anyone stop falling for the media hysteria the recovery rate from coronavirus is well over 50% stop panicking most people recover from this in 14 days
2020-03-22,Why are people all coming to rural villages to ‘self isolate’ and then walking around having the best time of their life???? #CoronavirusPandemic
2020-03-22,"Quarantine Day 66

Quit letting facts, the truth, proof, logic, evidence, scientific evidence, and historical data influence your decisions!

Coronavirus is used to wage war on America and Amazon is using it because of the wage war in America🤯

#staywoke"
2020-03-22,"A friend of ours is 27, living in London. She has Covid-19 symptoms (as diagnosed by phone) . She has been told to stay at home and self medicate with paracetamol and plenty of water.
Will she be counted in official figures?"
2020-03-22,"@mariammomodu_ @RonaldosCrush What have you been reading? You probably should read more. In contrast to your recent ""googling"" activity, I've been reading COVID-19 related articles for weeks, sometimes several articles an hour and I don't find these headlines sensational or demeaning."
2020-03-22,"What would our communities be like without these #nonprofits? @Jim_Jordan @robportman Nonprofits are on the front lines of #COVID19 response, providing critical services like child care for emergency personnel and food for hungry kids. Congress MUST provide #Relief4Charities"
2020-03-22,NO LOCKDOWN 👉 Basilan Governor Jim Salliman clarifies that there is NO TOTAL LOCKDOWN in the province. But the public is asked to excercise extreme measures of social distancing in all public areas and limit freedom of movement to curb the spread of #COVID19. https://t.co/l6Plkhj7FC
2020-03-22,"Nigerians don't have celebrities.. 

We have scum + bags

I don't rate 99% of them all..

If not for fame most will be beggars..

Besides some don't even have money lol na fame wings dey fly them around 😂 https://t.co/wsVUdtu73C"
2020-03-22,UK Parliament: Create an emergency fund to support freelancers with Coronavirus income loss - Sign the Petition! https://t.co/miLEZ2cYDi via @UKChange
2020-03-22,I love how CGTN has 'opinion' pieces to distinguish from their entirely accurate and unbiased 'news' pieces. https://t.co/UMIdOny2DC
2020-03-22,Minnesota lawmakers turn to tech to stay in touch with constituents because of coronavirus https://t.co/Z5ze3nPTDZ
